date,campaign_id,campaign_name,campaign_type,spend,revenue,clicks,impressions
2026-06-01,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,90,360,22,980
2026-06-02,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,94,382,23,1010
2026-06-03,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,91,0,19,995
2026-06-04,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,97,401,25,1060
2026-06-05,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,101,425,27,1110
2026-06-06,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,99,408,24,1085
2026-06-07,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,103,437,28,1140
2026-06-08,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,105,0,21,1160
2026-06-09,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,108,452,29,1195
2026-06-10,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,110,470,30,1220
2026-06-11,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,107,446,27,1180
2026-06-12,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,112,481,31,1250
2026-06-13,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,115,498,33,1290
2026-06-14,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,113,0,24,1270
2026-06-15,aurora-search-g,Aurora_NTM_Search_Core,SEARCH,118,512,34,1320
2026-06-09,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,62,238,15,720
2026-06-10,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,65,251,16,755
2026-06-11,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,67,0,13,770
2026-06-12,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,70,269,17,810
2026-06-13,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,72,281,18,835
2026-06-14,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,74,0,14,850
2026-06-15,aurora-pmax-g,Aurora_PMax_Catalog,PERFORMANCE_MAX,76,296,19,880
