date,campaign_id,campaign_name,campaign_type,spend,revenue,clicks,impressions
2026-06-01,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,42,0,12,610
2026-06-02,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,43,132,13,630
2026-06-03,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,41,0,11,600
2026-06-04,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,45,0,14,655
2026-06-05,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,46,151,15,680
2026-06-06,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,44,0,12,650
2026-06-07,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,47,0,15,695
2026-06-08,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,48,162,16,710
2026-06-09,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,49,0,14,725
2026-06-10,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,50,0,17,740
2026-06-11,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,48,158,15,715
2026-06-12,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,51,0,18,760
2026-06-13,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,53,176,19,790
2026-06-14,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,52,0,16,775
2026-06-15,aurora-search-b,Aurora_NTM_Search_Core,SEARCH,54,0,20,810
2026-06-09,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,30,0,9,420
2026-06-10,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,31,88,10,440
2026-06-11,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,32,0,9,455
2026-06-12,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,33,0,11,470
2026-06-13,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,34,96,12,490
2026-06-14,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,33,0,10,480
2026-06-15,aurora-remark-b,Aurora_Remarketing_Audience,AUDIENCE,35,101,13,510
